City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
301,port-vila,-17.7338,168.3219,295.93,94,75,2.57,VU,1689889000
302,fort stockton,30.894,-102.8793,311.57,19,0,6.17,US,1689889595
303,baikunthpur,23.25,82.55,299.31,79,100,2.72,IN,1689889632
304,talnakh,69.4865,88.3972,289.38,95,64,3.08,RU,1689888951
305,dudinka,69.4058,86.1778,289.61,98,65,4.78,RU,1689888949
306,telenesti,47.4997,28.3656,291.56,89,40,2.73,MD,1689889633
307,bobrovskiy,56.6732,60.9807,285.24,100,0,2.0,RU,1689889633
308,susuman,62.7833,148.1667,296.08,51,9,2.4,RU,1689889079
309,severnoye,56.3491,78.3619,287.97,97,88,2.42,RU,1689889634
310,wicklow,53.0,-6.4167,284.07,97,81,1.75,IE,1689889634
311,nyurba,63.2842,118.3319,290.24,78,87,1.06,RU,1689889150
312,carlsbad,33.1581,-117.3506,312.8,67,0,5.66,US,1689889401
313,kone,-21.0595,164.8658,293.54,61,6,2.27,NC,1689889154
314,mil'kovo,55.6078,37.7956,287.88,80,30,2.87,RU,1689889179
315,zakamensk,50.3741,103.2863,283.04,98,39,0.43,RU,1689889635
316,turaif,31.6725,38.6637,302.29,17,0,4.63,SA,1689889635
317,cole harbour,44.6724,-63.4751,297.14,84,100,3.6,CA,1689889635
318,san fernando,15.0286,120.6898,299.0,88,88,1.21,PH,1689889636
319,altai,46.3722,96.2583,290.51,28,67,2.6,MN,1689889636
320,verkhniy tagil,57.3733,59.9556,284.88,94,48,2.46,RU,1689889636
321,rio brilhante,-21.8019,-54.5464,295.88,62,37,2.03,BR,1689889636
322,mana,5.6592,-53.7767,299.67,83,4,3.66,GF,1689889637
323,anadyr,64.75,177.4833,285.43,93,75,3.0,RU,1689889075
324,miracema do tocantins,-9.5618,-48.3967,300.05,27,8,2.14,BR,1689889637
325,bereeda,11.8704,51.0579,303.22,58,100,4.66,SO,1689889144
326,juhaynah,26.6732,31.4976,307.33,18,0,2.29,EG,1689889638
327,keelung,25.1283,121.7419,303.18,84,100,0.93,TW,1689889638
328,nova vicosa,-17.8919,-39.3719,295.72,85,99,7.15,BR,1689888999
329,guerrero negro,27.9769,-114.0611,298.19,60,14,8.35,MX,1689889638
330,cadale,2.7603,46.3222,298.35,87,100,9.09,SO,1689889163
331,ouahigouya,13.5828,-2.4216,306.51,42,24,3.02,BF,1689889639
332,gurupi,-11.7292,-49.0686,299.16,20,5,2.36,BR,1689889639
333,labasa,-16.4167,179.3833,299.1,87,77,4.53,FJ,1689889639
334,iwaki,37.05,140.8833,297.47,89,48,2.96,JP,1689889640
335,bolgatanga,10.7856,-0.8514,302.04,59,35,3.88,GH,1689889640
336,mutuali,-14.8706,37.0044,292.06,76,67,2.75,MZ,1689889640
337,kerikeri,-35.2268,173.9474,281.99,95,19,1.05,NZ,1689889128
338,puerto santa,-8.9906,-78.6456,294.89,76,26,5.28,PE,1689889116
339,orchard homes,46.8633,-114.0484,308.86,17,0,3.6,US,1689889641
340,queenstown,-31.8976,26.8753,277.0,80,100,3.93,ZA,1689889001
